kanji	JLPT	grade	example1	other examples
円	5	1	丸い/円い|まるい|round; circular|5	['楕円|だえん|ellipse|2', '円い|まるい|round; circular; spherical|2']
七	5	1	七日|なのか|seven days; the seventh day|5	['七|しち / なな|seven|5', '七|なな|seven|3']
水	5	1	水|みず|water|5	['水道|すいどう |water supply|4', '水泳|すいえい |swimming|4']
立	5	1	立つ|たつ|to stand|5	['役に立つ|やくにたつ |to be helpful|4', '独立|どくりつ|independence (e.g. Ind. Day); self-support|3']
白	5	1	白い|しろい|white|5	['真っ白|まっしろ|pure white|2', '青白い|あおじろい|pale; pallid|2']
車	5	1	電車|でんしゃ|electric train|5	['自転車|じてんしゃ|bicycle|5', '車|くるま|car; vehicle|5']
気	5	1	電気|でんき|electricity; electric light|5	['病気|びょうき|illness|5', '元気|げんき|health; vitality|5']
足	5	1	足|あし|foot; leg|5	['足りる|たりる |to be enough|4', '満足|まんぞく|satisfaction|3']
川	5	1	川/河|かわ|river|5	['河川|かせん|rivers|1']
日	5	1	日曜日|にちようび|Sunday|5	['七日|なのか|seven days; the seventh day|5', '二十日|はつか|twenty days; twentieth|5']
学	5	1	大学|だいがく|university|5	['学校|がっこう|school|5', '学生|がくせい|student|5']
左	5	1	左|ひだり|left hand side|5	['左利き|ひだりきき|left-handedness; sake drinker; left-hander|1', '左程|さほど|(not) very; (not) much|1']
一	5	1	一日|ついたち|first of month|5	['一人|ひとり|one person|5', '一月|ひとつき|one month|5']
早	5	1	早い|はやい|early|5	['早速|さっそく|at once; immediately; without delay; promptly|2', '最早|もはや|already; now|1']
下	5	1	地下鉄|ちかてつ|underground train|5	['下手|へた|unskillful|5', '下|した|below|5']
右	5	1	右|みぎ|right side|5	[]
月	5	1	来月|らいげつ|next month|5	['毎月|まいげつ/まいつき|every month|5', '今月|こんげつ|this month|5']
女	5	1	女の子|おんなのこ|girl|5	['彼女|かのじょ |she; girlfriend|4', '女性|じょせい |woman|4']
子	5	1	帽子|ぼうし|hat|5	['お菓子|おかし|sweets; candy|5', '女の子|おんなのこ|girl|5']
三	5	1	三つ|みっつ|three|5	['三|さん|three|5', '三日月|みかづき|new moon; crescent moon|2']
休	5	1	夏休み|なつやすみ|summer holiday|5	['休み|やすみ|rest; holiday|5', '昼休み|ひるやすみ |noon break|4']
千	5	1	千|せん|thousand|5	[]
入	5	1	入る|はいる|to enter; to contain|5	['入口|いりぐち|entrance|5', '入院|にゅういんする |to hospitalise; hospitalisation|4']
人	5	1	二人|ふたり|two people|5	['人|ひと|person|5', '大人|おとな|adult|5']
小	5	1	小さな|ちいさな|little|5	['小説|しょうせつ |novel|4', '小学校|しょうがっこう |elementary school|4']
雨	5	1	雨|あめ|rain|5	['梅雨|ばいう|rainy season; rain during the rainy season|3', '雨戸|あまど|sliding storm door|2']
天	5	1	天気|てんき|weather|5	['天然|てんねん|nature; spontaneity|3', '天候|てんこう|weather|3']
耳	5	1	耳|みみ|ear|5	['耳鼻科|じびか|otolaryngology|1']
町	5	1	町|まち|town; city|5	[]
文	5	1	文章|ぶんしょう|sentence; text|5	['文法|ぶんぽう |grammar|4', '文学|ぶんがく |literature|4']
六	5	1	六つ|むっつ|six|5	['六|ろく|six|5', '六|む|(num) six|1']
四	5	1	四つ|よっつ|four|5	['四|し / よん|four|5', '四|よん|four|3']
校	5	1	学校|がっこう|school|5	['小学校|しょうがっこう |elementary school|4', '高校生|こうこうせい |high school student|4']
年	5	1	年|とし|year|5	['万年筆|まんねんひつ|fountain pen|5', '毎年|まいねん/まいとし|every year|5']
空	5	1	空|そら|sky|5	['空港|くうこう |airport|4', '空気|くうき |air; atmosphere|4']
花	5	1	花|はな|flower|5	['花見|はなみ |cherry|4', '花嫁|はなよめ|bride|2']
百	5	1	八百屋|やおや|greengrocer|5	['百科事典|ひゃっかじてん|encyclopedia|1', '百科辞典|ひゃっかじてん|encyclopedia|1']
八	5	1	八|はち|eight|5	['八つ|やっつ|eight|5', '八日|ようか|eight days; eighth day of the month|5']
五	5	1	五つ|いつつ|five|5	['五|ご|five|5', '五十音|ごじゅうおん|the Japanese syllabary|2']
青	5	1	青|あお|blue|5	['真っ青|まっさお|deep blue; ghastly pale|2', '青白い|あおじろい|pale; pallid|2']
金	5	1	お金|おかね|money|5	['お金持ち|おかねもち |rich|4', '貯金|ちょきん|(bank) savings|3']
二	5	1	二|に|two|5	['二十歳|はたち|20 years old; 20th year|5', '二日|ふつか|two days; second day of the month|5']
先	5	1	先生|せんせい|teacher; doctor|5	['先|さき|the future; previous|5', '先月|せんげつ|last month|5']
見	5	1	見る 観る|みる|to see; to watch|5	['拝見|はいけんする |(humble) to look at|4', '見つける|みつける |to discover|4']
男	5	1	男の子|おとこのこ|boy|5	['男性|だんせい |male|4', '男子|だんし|a boy; a man; a male|3']
本	5	1	本棚|ほんだな|bookshelves|5	['日本|にっぽん・にほん|Japan|3', '本物|ほんもの|genuine article|3']
赤	5	1	赤|あか|red|5	['真っ赤|まっか|deep red; flushed (of face)|3', '赤道|せきどう|equator|2']
手	5	1	手紙|てがみ|letter|5	['下手|へた|unskillful|5', 'お手洗い|おてあらい|bathroom|5']
大	5	1	大切|たいせつ|important|5	['大丈夫|だいじょうぶ|all right|5', '大使館|たいしかん|embassy|5']
名	5	1	名前|なまえ|name|5	['名|な|name; reputation|3', '名人|めいじん|master; expert|3']
木	5	1	木曜日|もくようび|Thursday|5	['木綿|もめん |cotton|4', '木曜/木曜日|もくよう/もくようび|Thursday|3']
音	5	1	音楽|おんがく|music|5	['音|おと |sound; note|4', '騒音|そうおん|noise|3']
中	5	1	中|なか|middle|5	['背中|せなか |back of the body|4', '中学校|ちゅうがっこう |junior high school; middle school|4']
上	5	1	上げる|あげる|to give|5	['上|うえ|on top of|5', '上手|じょうず|skillful|5']
生	5	1	誕生日|たんじょうび|birthday|5	['先生|せんせい|teacher; doctor|5', '学生|がくせい|student|5']
口	5	1	出口|でぐち|exit|5	['口|くち|mouth; opening|5', '人口|じんこう |population|4']
火	5	1	火曜日|かようび|Tuesday|5	['火事|かじ |fire|4', '火災|かさい|conflagration; fire|3']
夕	5	1	夕飯|ゆうはん|dinner|5	['夕べ|ゆうべ|evening|3', '夕日|ゆうひ|(in) the evening sun; setting sun|2']
字	5	1	字引|じびき|dictionary|5	['字|じ |character|4', '数字|すうじ|numeral; figure|3']
十	5	1	二十日|はつか|twenty days; twentieth|5	['十日|とおか|ten days; the tenth day|5', '十|じゅう とお|ten|5']
土	5	1	土曜日|どようび|Saturday|5	['土|つち|earth; soil|3', '土地|とち|plot of land; lot; soil|3']
山	5	1	山|やま|mountain|5	['火山|かざん|volcano|2', '山林|さんりん|mountain forest; mountains and forest|2']
九	5	1	九|きゅう / く|nine|5	['九つ|ここのつ|nine|5', '九|きゅう / く|nine|3']
出	5	1	出す|だす|to put out|5	['出口|でぐち|exit|5', '出かける|でかける|to go out|5']
犬	5	1	犬|いぬ|dog|5	[]
目	5	1	目|め|eye|5	['駄目|だめ|useless; no good; hopeless|3', '目的|もくてき|purpose; goal; aim; objective; intention|3']
村	5	1	村|むら|village|5	['漁村|ぎょそん|fishing village|1']
丸	5	2	丸い/円い|まるい|round; circular|5	['丸い|まるい|round; circular; spherical|3', '真ん丸い|まんまるい|perfectly circular|1']
少	5	2	少し|すこし|few|5	['少しも|すこしも|anything of; not one bit|3', '多少|たしょう|more or less; somewhat; a little; some|3']
外	5	2	外|そと|outside|5	['外国|がいこく|foreign country|5', '以外|いがい |with the exception of|4']
自	5	2	自動車|じどうしゃ|automobile|5	['自分|じぶん|oneself|5', '自由|じゆう |freedom|4']
魚	5	2	魚|さかな|fish|5	['金魚|きんぎょ|goldfish|2']
語	5	2	英語|えいご|English language|5	['物語|ものがたり|tale; story; legend|3', '語る|かたる|to talk; to tell; to recite|3']
帰	5	2	帰る|かえる|to go back|5	['帰宅|きたく|returning home|3', '日帰り|ひがえり|day trip|2']
答	5	2	答える|こたえる|to answer|5	['答案|とうあん|examination paper; examination script|3', '問答|もんどう|questions and answers; dialogue|2']
公	5	2	公園|こうえん|park|5	['公平|こうへい|fairness; impartial; justice|3', '公務|こうむ|official business; public business|2']
会	5	2	会う|あう|to meet|5	['展覧会|てんらんかい |exhibition|4', '会話|かいわ |conversation|4']
戸	5	2	戸|と|Japanese style door|5	['井戸|いど|water well|2', '雨戸|あまど|sliding storm door|2']
雪	5	2	雪|ゆき|snow|5	['雪崩|なだれ|avalanche|1']
点	5	2	交差点|こうさてん|intersection|5	['要点|ようてん|gist; main point|3', '欠点|けってん|faults; defect; weakness|3']
兄	5	2	お兄さん|おにいさん|(honorable) older brother|5	['兄弟|きょうだい|(humble) siblings|5', '従兄弟|いとこ|cousin (male)|3']
妹	5	2	妹|いもうと|(humble) younger sister|5	['従姉妹|いとこ|cousin (female)|2', '姉妹|きょうだい|sisters|1']
食	5	2	食べる|たべる|to eat|5	['食堂|しょくどう|dining hall|5', '食料品|しょくりょうひん |groceries|4']
姉	5	2	お姉さん|おねえさん|(honorable) older sister|5	['姉妹|しまい|sisters|3', '従姉妹|いとこ|cousin (female)|2']
書	5	2	葉書|はがき|postcard|5	['書く|かく|to write|5', '辞書|じしょ|dictionary|5']
